event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
PER8088,"25 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)","Students (Peru)",6,,,0,60,,604,"South America",Peru,Junin,Huancayo,Huancayo,Huancayo,-12.0651,-75.2049,1,"Diario Correo (Peru)",National,"On 25 April 2023, in Huancayo (Junin), for the third consecutive day, students of different faculties of Centro del Peru National University (UNCP) held a demonstration and continued to occupy the university campus to demand maintenance of the Satipo campus infrastructure, among other demands.",0,"crowd size=no report",1683046241
PER8094,"25 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)","Teachers (Peru)",6,,,0,60,,604,"South America",Peru,Loreto,Maynas,Iquitos,Iquitos,-3.7491,-73.2538,1,"La Region (Peru)",Subnational,"On 25 April 2023, in Iquitos (Loreto), retired teachers unionized under the Association of Teachers of the Magisterial Reform staged a demonstration outside the Loreto Regional Education Management offices to demand payment of their social benefits that have been owed since 2022.",0,"crowd size=no report",1683046241
PER8096,"25 April 2023",2023,1,"Political violence",Riots,"Mob violence","Rioters (Peru)","Vigilante Group (Peru)",5,,,0,50,,604,"South America",Peru,Lima,Lima,"San Juan De Lurigancho","Lima - San Juan de Lurigancho",-11.97,-77.001,1,"La Republica (Peru)",National,"On 25 April 2023, in Lima - San Juan de Lurigancho (Lima), residents of Huascar sector chased after a man and a woman accused of attempting to rob a motorcycle cab. After the two escaped the group, the residents burned down the motorcycle they both used.",0,"crowd size=no report",1683046241
PER8078,"24 April 2023",2023,1,"Political violence",Riots,"Mob violence","Rioters (Peru)","Vigilante Group (Peru)",5,"Civilians (Peru)",,7,57,"Civilian targeting",604,"South America",Peru,Ancash,Santa,"Nuevo Chimbote","Buenos Aires",-9.1208,-78.5279,1,"Diario de Chimbote (Peru)",Subnational,"On 24 April 2023, in Buenos Aires (Ancash), residents of Costa Blanca human settlement captured a man, stripped him, tied him to a post and beat him up after he was found inside a house stealing a gas tank. The man was known to have robbed several times in the sector. He was later taken to a police station.",0,"crowd size=no report; sexual violence",1683046241
PER8079,"24 April 2023",2023,1,"Political violence",Riots,"Mob violence","Rioters (Peru)","Vigilante Group (Peru)",5,"Civilians (Peru)",,7,57,"Civilian targeting",604,"South America",Peru,Cajamarca,Cajamarca,Cajamarca,Cajamarca,-7.1638,-78.5003,1,"La Republica (Peru)",National,"On 24 April 2023, in Cajamarca (Cajamarca), residents captured and beat up two men that were accused of robbery. Police officers later rescued the two men.",0,"crowd size=no report",1683046241
PER8080,"24 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)",,6,,,0,60,,604,"South America",Peru,Ancash,Santa,Chimbote,"Cascajal Bajo",-8.9085,-78.5259,1,"Diario de Chimbote (Peru)",Subnational,"On 24 April 2023, in Cascajal Bajo (Ancash), hundreds of residents marched towards the local government offices as a demonstration to demand authorities carry out maintenance in the streets and highways that were damaged by the floods and rainy season.",0,"crowd size=hundreds",1683046241
PER8082,"24 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)","Labor Group (Peru); Farmers (Peru)",6,,,0,60,,604,"South America",Peru,Ancash,Santa,Chimbote,Chimbote,-9.0853,-78.5783,1,"Diario Correo (Peru)",National,"On 24 April 2023, in Chimbote (Ancash), residents, farmers and transportation workers staged a demonstration to demand local authorities fix the highways that lead to rural parts of the city that were damaged due to the intense rainy season.",0,"crowd size=no report",1683046241
PER8083,"24 April 2023",2023,1,Demonstrations,Riots,"Violent demonstration","Rioters (Peru)","Students (Peru)",5,"Police Forces of Peru (2022-)",,1,15,,604,"South America",Peru,Huancavelica,Huancavelica,Huancavelica,Huancavelica,-12.7826,-74.9727,1,"Diario Correo (Peru)",National,"On 24 April 2023, in Huancavelica (Huancavelica), university students and members of the Provincial Defense Front marched through the city as a demonstration to voice their grievances to the university council for unknown reasons. Police officers intervened and clash with the demonstrators. They used tear gas to disperse them. Between four to eight students were injured.",0,"crowd size=no report",1683046241
PER8089,"24 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)","Students (Peru)",6,,,0,60,,604,"South America",Peru,Junin,Huancayo,Huancayo,Huancayo,-12.0651,-75.2049,1,"Diario Correo (Peru)",National,"On 24 April 2023, in Huancayo (Junin), for the second consecutive day, students of different faculties of Centro del Peru National University (UNCP) held a demonstration and continued to occupy the university campus to demand maintenance of the Satipo campus infrastructure, among other demands.",0,"crowd size=no report",1683046241
PER8092,"24 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)",,6,,,0,60,,604,"South America",Peru,Lambayeque,Lambayeque,Illimo,Illimo,-6.4741,-79.8543,1,"La Republica (Peru)",National,"On 24 April 2023, in Illimo (Lambayeque), residents blocked La Leche bridge as a demonstration to demand the government carry out La Calzada dam construction work that has been pending since 2009, and the rainy seasons flood the bridge and complicate their movement to other cities.",0,"crowd size=no report",1683046241
PER8098,"24 April 2023",2023,1,"Political violence",Riots,"Mob violence","Rioters (Peru)","Vigilante Group (Peru)",5,"Civilians (Peru)",,7,57,"Civilian targeting",604,"South America",Peru,Piura,Piura,Piura,Piura,-5.1945,-80.6328,1,"Diario Correo (Peru)",National,"On 24 April 2023, in Piura (Piura), residents of La Flor de Piura sector in Veintiseis de Octubre district captured two men accused of robbery. They stripped them of their clothes, tied them to a post and beat them up. National and local (serenos) police officers later rescued the two men.",0,"crowd size=no report; sexual violence",1683046242
PER8077,"23 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)",,6,,,0,60,,604,"South America",Peru,Arequipa,Arequipa,Arequipa,Arequipa,-16.3989,-71.535,1,"Diario Correo (Peru)",National,"On 23 April 2023, in Arequipa (Arequipa), residents of Apipa sector in Cerro Colorado district blocked the main avenue as a demonstration to demand informal transport services be controlled after a small bus ran over two kids the previous day.",0,"crowd size=no report",1683046241
PER8090,"23 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)","Students (Peru)",6,,,0,60,,604,"South America",Peru,Junin,Huancayo,Huancayo,Huancayo,-12.0651,-75.2049,1,"Diario Correo (Peru)",National,"On 23 April 2023, in Huancayo (Junin), students of different faculties of Centro del Peru National University (UNCP) held a demonstration and continued to occupy the university campus to demand maintenance of the Satipo campus infrastructure, among other demands.",0,"crowd size=no report",1683046241
PER8091,"21 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)","Labor Group (Peru); Health Workers (Peru)",6,,,0,60,,604,"South America",Peru,Huanuco,Huanuco,Huanuco,Huanuco,-9.9306,-76.2422,1,"Diario Correo (Peru)",National,"On 21 April 2023, in Huanuco (Huanuco), administrative workers and health worker assistants with CAS contracts hired during the coronavirus pandemic staged a demonstration to demand the regional governor respect their contracts as specified by law.",0,"crowd size=no report",1683046241
PER8038,"20 April 2023",2023,1,Demonstrations,Riots,"Violent demonstration","Rioters (Peru)","Ronda Campesina; Farmers (Peru)",5,"Police Forces of Peru (2022-)",,1,15,,604,"South America",Peru,Cajamarca,Chota,Chota,Chota,-6.562,-78.6508,1,"Diario Correo (Peru)",National,"On 20 April 2023, in Chota (Cajamarca), farmers members of Rondas Campesinas took control of the subprefecture offices as a demonstration to repudiate the designation of a new subprefect, that they claim represents the current government of Dina Boluarte which they are against of. Police officers clashed with the farmers to try to remove them. The farmers damaged the offices infrastructure.",0,"crowd size=no reportl",1682446885
PER8045,"20 April 2023",2023,1,Demonstrations,Riots,"Violent demonstration","Rioters (Peru)","Students (Peru)",5,"Police Forces of Peru (2022-)",,1,15,,604,"South America",Peru,Huancavelica,Huancavelica,Huancavelica,Huancavelica,-12.7826,-74.9727,1,"Diario Correo (Peru)",National,"On 20 April 2023, in Huancavelica (Huancavelica), for the second consecutive day, students at Huancavelica National University marched as a demonstration to demand the dean to fulfil their demands, including the construction of new infrastructure. They burned tires in front of the university and police officers intervened and clashed with the students. The officers later used tear gas. One student was injured during the clash.",0,"crowd size=no report",1682446886
PER8061,"20 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)","Health Workers (Peru); Women (Peru)",6,,,0,60,,604,"South America",Peru,Piura,Piura,Piura,Piura,-5.1945,-80.6328,1,"Diario Correo (Peru)",National,"On 20 April 2023, in Piura (Piura), female nurses at the Jose Cayetano Heredio Regional Hospital staged a demonstration to demand the repair of the sterilization equipment.",0,"crowd size=no report",1682446886
PER8062,"20 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)",,6,,,0,60,,604,"South America",Peru,Ica,Ica,"Pueblo Nuevo","Pueblo Nuevo",-14.1274,-75.7059,1,"Diario Correo (Peru)",National,"On 20 April 2023, in Pueblo Nuevo (Ica), family members of a local police officer who was run-over and killed by a truck staged a demonstration outside the Criminal Court of Preparatory Investigation offices to demand the maximum penalty for the driver responsible.",0,"crowd size=no report",1682446886
PER8074,"20 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)",,6,,,0,60,,604,"South America",Peru,Tumbes,"Contralmirante Villar",Zorritos,Zorritos,-3.6804,-80.6798,1,"Diario Correo (Peru)",National,"On 20 April 2023, in Zorritos (Tumbes), dozens of residents blocked the North Pan-American highway as a demonstration to demand the quick reestablishment of the potable water services in their sector.",0,"crowd size=dozens",1682446886
PER8028,"19 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)","Labor Group (Peru); Government of Peru (2022-)",6,,,0,60,,604,"South America",Peru,Tumbes,Zarumilla,"Aguas Verdes","Aguas Verdes",-3.4816,-80.2459,1,"Diario Correo (Peru)",National,"On 19 April 2023, in Aguas Verdes (Tumbes), for the second consecutive day, regional, provincial, district, and local government authorities and unionized workers blocked the international highway that connects with Ecuador as a demonstration to demand the central government for more budget to be assigned to tend for the damages caused by the rainy season.",0,"crowd size=no report",1682446885
PER8030,"19 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)","Ronda Campesina; Farmers (Peru)",6,,,0,60,,604,"South America",Peru,Cajamarca,Cajamarca,Cajamarca,Cajamarca,-7.1638,-78.5003,1,"La Republica (Peru)",National,"On 19 April 2023, in Cajamarca (Cajamarca), farmers members of Rondas Campesinas marched through the city as a demonstration to reject the investigation on 18 members that participated in the demonstrations to demand the closure of congress, calling for general elections, and for the resignation of President Dina Boluarte.",0,"crowd size=no report",1682446885
PER8033,"19 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)","Labor Group (Peru); Government of Peru (2022-)",6,,,0,60,,604,"South America",Peru,Tumbes,"Contralmirante Villar","Canoas De Punta Sal",Cancas,-3.9458,-80.9404,1,"Diario Correo (Peru)",National,"On 19 April 2023, in Cancas (Tumbes), for the second consecutive day, regional, provincial, district, and local government authorities and unionized workers blocked the North Pan-American highway as a demonstration to demand the central government for more budget to be assigned to tend for the damages caused by the rainy season.",0,"crowd size=no report",1682446885
PER8035,"19 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)",,6,,,0,60,,604,"South America",Peru,Lambayeque,Chiclayo,Chiclayo,Chiclayo,-6.7714,-79.8409,1,"Diario Correo (Peru)",National,"On 19 April 2023, in Chiclayo (Lambayeque), residents staged a demonstration to voice their grievances about the damages caused by the rainy season, demanded faster construction of the rain drain works and more budget to advance of the potable water and sewage systems construction.",0,"crowd size=no report",1682446885
PER8036,"19 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)",,6,,,0,60,,604,"South America",Peru,Ancash,Santa,Chimbote,Chimbote,-9.0853,-78.5783,1,"Diario de Chimbote (Peru)",Subnational,"On 19 April 2023, in Chimbote (Ancash), family members, friends, and neighbors of a merchant who was killed recently staged a demonstration outside the state attorney offices to demand a solution for the increasing criminal activity and extortion in the city.",0,"crowd size=no report",1682446885
PER8037,"19 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)","Farmers (Peru)",6,,,0,60,,604,"South America",Peru,Ica,Chincha,"Chincha Alta","Chincha Alta",-13.4099,-76.1324,2,"Diario Correo (Peru)",National,"On 19 April 2023, in the rural area of Chincha Alta district (Ica), cotton farmers of El Carmen, Chincha Baja, Alto Laran, and Grocio Prado marched through the South Pan-American highway as a demonstration to demand a fair price for their products and an intervention from the local government to aid them with the low prices they are given for their products and the high costs of fertilizers.",0,"crowd size=no report",1682446885
PER8040,"19 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)",,6,,,0,60,,604,"South America",Peru,Piura,Piura,"El Tallan","El Tabanco",-5.4549,-80.6054,1,"Diario Correo (Peru)",National,"On 19 April 2023, in El Tabanco (Piura), for the second consecutive day, residents blocked the Piura - Chiclayo highway as a demonstration to demand the central government for more budget to be assigned to tend for the damages caused by the rainy season and mitigation works to be implemented.",0,"crowd size=no report",1682446885
PER8043,"19 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)",,6,,,0,60,,604,"South America",Peru,Piura,Morropon,"La Matanza",Hualtaco,-5.4591,-79.9916,1,"Diario Correo (Peru)",National,"On 19 April 2023, in Hualtaco (Piura), for the second consecutive day, residents blocked the Sullana - La Tina highway as a demonstration to demand the central government for more budget to be assigned to tend for the damages caused by the rainy season and mitigation works to be implemented.",0,"crowd size=no report",1682446886
PER8044,"19 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)","Students (Peru)",6,,,0,60,,604,"South America",Peru,Huancavelica,Huancavelica,Huancavelica,Huancavelica,-12.7826,-74.9727,1,"Diario Correo (Peru)",National,"On 19 April 2023, in Huancavelica (Huancavelica), students at the Huancavelica National University staged a demonstration to demand the dean to fulfil their demands, including the construction of new infrastructure.",0,"crowd size=no report",1682446886
PER8052,"19 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)",,6,,,0,60,,604,"South America",Peru,Piura,Piura,"La Union","La Union",-5.4023,-80.7422,1,"Diario Correo (Peru)",National,"On 19 April 2023, in La Union (Piura), residents blocked the highway that enters the city as a demonstration to demand the central government for more budget to be assigned to tend for the damages caused by the rainy season and mitigation works to be implemented.",0,"crowd size=no report",1682446886
PER8058,"19 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)",,6,,,0,60,,604,"South America",Peru,Piura,Paita,Paita,Paita,-5.0892,-81.1144,1,"Diario Correo (Peru)",National,"On 19 April 2023, in Paita (Piura), residents blocked the entrance to the Euroandino Port Terminal as a demonstration to demand the central government for more budget to be assigned to tend for the damages caused by the rainy season and mitigation works to be implemented.",0,"crowd size=no report",1682446886
PER8060,"19 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)",,6,,,0,60,,604,"South America",Peru,Piura,Piura,Piura,Piura,-5.1945,-80.6328,1,"Diario Correo (Peru)",National,"On 19 April 2023, in Piura (Piura), for the second consecutive day, residents blocked the Fourth Bridge as a demonstration to demand the central government for more budget to be assigned to tend for the damages caused by the rainy season and mitigation works to be implemented.",0,"crowd size=no report",1682446886
PER8065,"19 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)",,6,,,0,60,,604,"South America",Peru,Piura,Sechura,Sechura,Sechura,-5.5569,-80.8222,1,"Diario Correo (Peru)",National,"On 19 April 2023, in Sechura (Piura), for the second consecutive day, residents blocked the highway that enters the city as a demonstration to demand the central government for more budget to be assigned to tend for the damages caused by the rainy season and mitigation works to be implemented.",0,"crowd size=no report",1682446886
PER8067,"19 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)",,6,,,0,60,,604,"South America",Peru,Piura,Piura,"Tambo Grande","Sinchi Roca",-4.8827,-80.4346,1,"Diario Correo (Peru)",National,"On 19 April 2023, in Sinchi Roca (Piura), for the second consecutive day, residents blocked the Sullana - Tambogrande highway as a demonstration to demand the central government for more budget to be assigned to tend for the damages caused by the rainy season and mitigation works to be implemented.",0,"crowd size=no report",1682446886
PER8070,"19 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)","Labor Group (Peru); Government of Peru (2022-)",6,,,0,60,,604,"South America",Peru,Tumbes,Tumbes,Tumbes,Tumbes,-3.5669,-80.4515,1,"Diario Correo (Peru)",National,"On 19 April 2023, in Tumbes (Tumbes), for the second consecutive day, regional, provincial, district, and local government authorities and unionized workers blocked the Heroes del Cenepa bridge as a demonstration to demand the central government for more budget to be assigned to tend for the damages caused by the rainy season.",0,"crowd size=no report",1682446886
PER8072,"19 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)","Labor Group (Peru); Government of Peru (2022-)",6,,,0,60,,604,"South America",Peru,Tumbes,Zarumilla,Zarumilla,Zarumilla,-3.5006,-80.275,1,"Diario Correo (Peru)",National,"On 19 April 2023, in Zarumilla (Tumbes), for the second consecutive day, regional, provincial, district, and local government authorities and unionized workers blocked a highway as a demonstration to demand the central government for more budget to be assigned to tend for the damages caused by the rainy season.",0,"crowd size=no report",1682446886
PER8029,"18 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)",,6,,,0,60,,604,"South America",Peru,Arequipa,Arequipa,Arequipa,Arequipa,-16.3989,-71.535,1,"Diario Correo (Peru)",National,"On 18 April 2023, in Arequipa (Arequipa), residents of the Santa Rosa urbanization staged a demonstration to demand more security due to the increasing criminal activity and the works of the Bicentenario road megaproject to be carried out swiftly.",0,"crowd size=no report",1682446885
PER8031,"18 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)","Fishers (Peru); Farmers (Peru); Labor Group (Peru); Teachers (Peru); Government of Peru (2022-)",6,,,0,60,,604,"South America",Peru,Tumbes,Tumbes,"La Cruz","Caleta Cruz",-3.6375,-80.5917,1,"Diario Correo (Peru)",National,"On 18 April 2023, in Caleta Cruz (Tumbes), fishers, farmers, civil construction workers, teachers, and regional, provincial, district, and local government authorities blocked the North Pan-American highway as a demonstration to demand the central government for more budget to be assigned to tend for the damages caused by the rainy season.",0,"crowd size=no report",1682446885
PER8032,"18 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)","Fishers (Peru); Farmers (Peru); Labor Group (Peru); Teachers (Peru); Government of Peru (2022-)",6,,,0,60,,604,"South America",Peru,Tumbes,"Contralmirante Villar","Canoas De Punta Sal",Cancas,-3.9458,-80.9404,1,"Diario Correo (Peru)",National,"On 18 April 2023, in Cancas (Tumbes), fishers, farmers, civil construction workers, teachers and regional, provincial, district, and local government authorities blocked the North Pan-American highway as a demonstration to demand the central government for more budget to be assigned to tend for the damages caused by the rainy season.",0,"crowd size=no report",1682446885
PER8039,"18 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)",,6,,,0,60,,604,"South America",Peru,Piura,Piura,"El Tallan","El Tabanco",-5.4549,-80.6054,1,"Diario Correo (Peru)",National,"On 18 April 2023, in El Tabanco (Piura), residents blocked the North Pan-American highway as a demonstration to demand the central government for more budget to be assigned to tend for the damages caused by the rainy season and mitigation works to be implemented.",0,"crowd size=no report",1682446885
PER8042,"18 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)",,6,,,0,60,,604,"South America",Peru,Piura,Morropon,"La Matanza",Hualtaco,-5.4591,-79.9916,1,"Diario Correo (Peru)",National,"On 18 April 2023, in Hualtaco (Piura), residents blocked the Sullana - La Tina highway as a demonstration to demand the central government for more budget to be assigned to tend for the damages caused by the rainy season and mitigation works to be implemented.",0,"crowd size=no report",1682446886
PER8046,"18 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)","Labor Group (Peru)",6,,,0,60,,604,"South America",Peru,Junin,Huancayo,Huancayo,Huancayo,-12.0651,-75.2049,1,"Diario Correo (Peru)",National,"On 18 April 2023, in Huancayo (Junin), unionized workers of El Carmen hospital staged a demonstration against the new manager assigned to the hospital, who they claimed has an administrative sanction for unjustified failure to comply with the working schedule.",0,"crowd size=no report",1682446886
PER8050,"18 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)","SUTEP: Union of Education Workers of Peru; Teachers (Peru)",6,,,0,60,,604,"South America",Peru,Loreto,Maynas,Iquitos,Iquitos,-3.7491,-73.2538,1,"La Region (Peru)",Subnational,"On 18 April 2023, in Iquitos (Loreto), regular teachers and unionized teachers of the Union of Education Workers of Peru (SUTEP) staged a demonstration outside the Maynas Local Education Management Unit (UGEL) offices to voice their grievances about the delay on the contract processes and about the lack of formal contracts provided.",0,"crowd size=no report",1682446886
PER8051,"18 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)","Labor Group (Peru)",6,,,0,60,,604,"South America",Peru,Puno,"San Roman",Juliaca,Juliaca,-15.5,-70.1333,1,"Diario Correo (Peru)",National,"On 18 April 2023, in Juliaca (Puno), hundreds of merchants marched through the city as a demonstration to demand the closure of congress, calling for general elections, and for the resignation of President Dina Boluarte.",0,"crowd size=hundreds",1682446886
PER8054,"18 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)",,6,,,0,60,,604,"South America",Peru,Lima,Lima,Barranco,"Lima - Barranco",-12.1412,-77.0222,1,"Diario Correo (Peru)",National,"On 18 April 2023, in Lima - Barranco (Lima), parents of students at Jose Maria Eguren school staged a demonstration to demand the removal of a teacher that has been previously arrested for paedophilia.",0,"crowd size=no report",1682446886
PER8056,"18 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)","Teachers (Peru); Students (Peru)",6,,,0,60,,604,"South America",Peru,Lima,Lima,Lima,"Lima - Lima District",-12.0462,-77.0451,1,"La Republica (Peru)",National,"On 18 April 2023, in Lima - Lima District (Lima), for the second consecutive day, teachers and former and current students at Music University staged a demonstration to voice their concern about a specialist in chemistry and biology to be assigned as president of the Organization Commission of the university, as they claim that the position should be filled by music specialist.",0,"crowd size=no report",1682446886
PER8057,"18 April 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Peru)",,6,,,0,60,,604,"South America",Peru,Piura,Talara,"Los Organos","Los Organos",-4.1773,-81.1247,1,"Diario Correo (Peru)",National,"On 18 April 2023, in Los Organos (Piura), residents blocked a highway as a demonstration to demand the central government for more budget to be assigned to tend for the damages caused by the rainy season and mitigation works to be implemented.",0,"crowd size=no report",1682446886
